rf_id,n_evaluadores,votos_ambiguo,votos_no_ambiguo,consenso_ambiguo_0_1,regla_consenso,observacion_adjudicacion
RF-AUT-01,,,,,mayoria simple,
RF-AUT-02,,,,,mayoria simple,
RF-AUT-03,,,,,mayoria simple,
RF-CLI-01,,,,,mayoria simple,
RF-CLI-02,,,,,mayoria simple,
RF-CLI-03,,,,,mayoria simple,
RF-MEM-01,,,,,mayoria simple,
RF-MEM-02,,,,,mayoria simple,
RF-MEM-03,,,,,mayoria simple,
RF-MEM-04,,,,,mayoria simple,
RF-PAG-01,,,,,mayoria simple,
RF-PAG-02,,,,,mayoria simple,
RF-ASI-01,,,,,mayoria simple,
RF-ASI-02,,,,,mayoria simple,
RF-INV-01,,,,,mayoria simple,
RF-INV-02,,,,,mayoria simple,
RF-VEN-01,,,,,mayoria simple,
RF-INV-03,,,,,mayoria simple,
RF-CAJ-01,,,,,mayoria simple,
RF-NOV-01,,,,,mayoria simple,
RF-INS-01,,,,,mayoria simple,
RF-RUT-01,,,,,mayoria simple,
RF-RUT-02,,,,,mayoria simple,
RF-RUT-03,,,,,mayoria simple,
RF-REP-01,,,,,mayoria simple,
