codigo_sesion,tecnica,perfil,fecha,audio_archivo,audio_duracion,audio_sha256,video_archivo,video_duracion,video_sha256
ENTR-01,Entrevista,Propietario/administracion,2026-07-28,2026-07-28_Audio_ENTR-01_DuenoGym.mp3,00:11:09,2386706802f9612509f7d8b7ed0c9e7f45d9593ce986e2ca99ce4a24f1de5ff3,2026-07-28_Video_ENTR-01_DuenoGym.mp4,00:11:09,fe7a760e6345850307ca51ae5fa27fee3406f2fb93039c3a059549c0066b7b15
ENTR-02,Entrevista,Recepcionista,2026-07-27,2026-07-27_Audio_ENTR-02_RecepcionistaGym.mp3,00:22:13,bf74fcd4e0df2c1168aaa094d5f871363d6ae379db47362f739de851d9a05d0a,2026-07-27_Video_ENTR-02_RecepcionistaGym.mp4,00:22:13,b39b686d3ac21dcafab54411248bf03d45d098d8c6063d6b2a05c20fba3bff88
ENTR-03,Entrevista,Recepcionista,2026-07-27,2026-07-27_Audio_ENTR-03_RecepcionistaGym.mp3,00:22:17,d0139b56f20d82611ff11a45a953264f82c50ca258be781aed867fa6740f941b,2026-07-27_Video_ENTR-03_RecepcionistaGym.mp4,00:22:17,4f9c1f5dceb9a32eb83aac1807a00f326b7fe4e62700855b6178fa7aee3a2204
ENTR-04,Entrevista,Recepcionista,2026-07-27,2026-07-27_Audio_ENTR-04_RecepcionistaGym.mp3,00:24:05,dd9192e153a84300d7449e0f6bcb442dd3022b68e9277440aaf87fc7aa56a474,2026-07-27_Video_ENTR-04_RecepcionistaGym.mp4,00:24:05,8665b30707c294516ad94b8498a835b9f7d662e9c6b62a62458abbd7549dfb62
ENTR-05,Entrevista,Recepcionista,2026-07-28,2026-07-28_Audio_ENTR-05_RecepcionistaGym.mp3,00:20:10,8a2ebffe96d443be570892bb7b55e6abe507d659a1a67e516fd52af246e1f2ad,2026-07-28_Video_ENTR-05_RecepcionistaGym.mp4,00:20:10,29e811ecdcb7119d826db2cff1ec0bf17c7f4a80c1f7ab7c9eff0f53213680a6
ENTR-06,Entrevista,Propietario/administracion,2026-07-29,2026-07-29_Audio_ENTR-06_DuenoGym.mp3,00:27:51,8d404d41c1bbf53c6fed764f0388dadd15a8da1ff3758bbc84a6782309920dd9,2026-07-29_Video_ENTR-06_DuenoGym.mp4,00:27:51,ec878626d3d4868b1c696871ebdef21ad1f8a9da72752a6e86307c843501e0b9
ENTR-07,Entrevista,Propietario/administracion,2026-07-28,2026-07-28_Audio_ENTR-07_DuenoGym.mp3,00:38:02,364bfccfcde961366dbf62a9a79cc1d0eae42ea394acd91899f14b9decf9bfd6,2026-07-28_Video_ENTR-07_DuenoGym.mp4,00:37:56,bb10811dc4b4791ebd73a56afdcf9fadf5ea979408d78ac14480d4c445ed3cb3
ENTR-08,Entrevista,Recepcionista,2026-07-28,2026-07-28_Audio_ENTR-08_RecepcionistaGym.mp3,00:17:41,48c02f4ac5e8db0b39f370374576addc81162e0043ff4acc7ebab86e0a7f6d90,2026-07-28_Video_ENTR-08_RecepcionistaGym.mp4,00:17:41,e87c84f49c4b9d06b3f4a169ea3dc2cf41327117915266e965546f40e0f3b099
ENTR-09,Entrevista,Instructor,2026-07-28,2026-07-28_Audio_ENTR-09_InstructorGym.mp3,00:21:06,4bb5d0db6a2cb561ccfcf3f0bcf3b6f77d852cbac2ba889f75bacbb35b3e3d7c,2026-07-28_Video_ENTR-09_InstructorGym.mp4,00:21:06,85b7271fc55f047d7f249201d9ea4a42561a6cba128397a44742052f3a413a78
ENTR-10,Entrevista,Instructor,2026-07-25,2026-07-25_Audio_ENTR-10_InstructorGym.mp3,00:18:07,8e8e1fa3698f890dc4ab0b227232c0dee0d1749234679bc31c95a508cabb79e8,2026-07-25_Video_ENTR-10_InstructorGym.mp4,00:18:07,3f4a23f1a10888942f5f47fe787a409aad32a223a5f4c829739fa6cee5f6ce5f
