codigo,frecuencia_fragmentos,entrevistas
CONTROL_VIGENCIA_ACCESO,7,ENTR-01;ENTR-03;ENTR-04;ENTR-07;ENTR-08
REGISTROS_DISPERSOS,6,ENTR-01;ENTR-02;ENTR-05;ENTR-06;ENTR-07;ENTR-09
REPORTES_DECISION,5,ENTR-01;ENTR-05;ENTR-06;ENTR-07;ENTR-09
CENTRALIZACION_CONSULTA,5,ENTR-02;ENTR-03;ENTR-05;ENTR-06;ENTR-08
GESTION_CLIENTES_MEMBRESIAS,4,ENTR-01;ENTR-03;ENTR-04;ENTR-05
CIERRE_CAJA_TURNO,4,ENTR-02;ENTR-03;ENTR-04
INTEGRIDAD_TRANSACCIONAL,4,ENTR-02;ENTR-04;ENTR-07
SEGUIMIENTO_RUTINAS,4,ENTR-09;ENTR-10
GESTION_PAGOS,3,ENTR-02;ENTR-03;ENTR-08
CONTROL_ACCESO_ROLES,3,ENTR-02;ENTR-03;ENTR-08
GESTION_NOVEDADES,3,ENTR-02;ENTR-03;ENTR-04
GESTION_INSTRUCTORES,3,ENTR-07;ENTR-09;ENTR-10
GESTION_RUTINAS,2,ENTR-09;ENTR-10
CONTROL_INVENTARIO_VENTAS,1,ENTR-01
CONTINUIDAD_OPERATIVA,1,ENTR-05
PRIVACIDAD_MINIMIZACION,1,ENTR-08
