Tipo_evidencia,Nombre,Ruta_final_o_prevista,Fecha_captura_EXIF,Fuente_fecha_EXIF,Zona_horaria_EXIF,Dispositivo_EXIF,Fuente_dispositivo,SHA256,Estado_EXIF,Estado_privacidad,Observaciones
A6_FOTO_EQUIPO,1788649505169.jpg,10_Autoria/fotos_equipo/1788649505169.jpg,2026:07:27 17:52:21,DateTimeOriginal,-05:00,Xiaomi (modelo no disponible en EXIF),MakerNote + Software EXIF,460cfc72669e44537a27f8254eacc3f4b153ab3985f98c33e6508dc09a748702,OK,EQUIPO_AUTORIA_REVISAR_PUBLICACION,Original conservado; no se modificó EXIF.
A6_FOTO_EQUIPO,1788649505185.jpg,10_Autoria/fotos_equipo/1788649505185.jpg,2026:07:27 17:52:15,DateTimeOriginal,-05:00,Xiaomi (modelo no disponible en EXIF),MakerNote + Software EXIF,e024736c864d5bf75370f1b6a19b36d3d0f8a054446d3ae6157893be8984c306,OK,EQUIPO_AUTORIA_REVISAR_PUBLICACION,Original conservado; no se modificó EXIF.
A6_FOTO_EQUIPO,1788649505237.jpg,10_Autoria/fotos_equipo/1788649505237.jpg,2026:07:27 17:50:39,DateTimeOriginal,-05:00,Xiaomi (modelo no disponible en EXIF),MakerNote + Software EXIF,af8adeba0a4d3d71332e4fd6a1b9ab45471ab2299a46c8bab1162833ef55b742,OK,EQUIPO_AUTORIA_REVISAR_PUBLICACION,Original conservado; no se modificó EXIF.
A6_FOTO_EQUIPO,1788649505256.jpg,10_Autoria/fotos_equipo/1788649505256.jpg,2026:07:27 17:50:39,DateTimeOriginal,-05:00,Xiaomi (modelo no disponible en EXIF),MakerNote + Software EXIF,4b5e8b212aaa782da716d743b1818a105b8e4ec8a05c15fe80b09b761cbbe54d,OK,EQUIPO_AUTORIA_REVISAR_PUBLICACION,Original conservado; no se modificó EXIF.
A6_FOTO_EQUIPO,1788649505271.jpg,10_Autoria/fotos_equipo/1788649505271.jpg,2026:07:27 17:50:38,DateTimeOriginal,-05:00,Xiaomi (modelo no disponible en EXIF),MakerNote + Software EXIF,731c63147b283e4e3f890564cfe7206329b55edf63c9ba154d149b74414a905c,OK,EQUIPO_AUTORIA_REVISAR_PUBLICACION,Original conservado; no se modificó EXIF.
A6_FOTO_EQUIPO,1788649505287.jpg,10_Autoria/fotos_equipo/1788649505287.jpg,2026:07:27 17:50:36,DateTimeOriginal,-05:00,Xiaomi (modelo no disponible en EXIF),MakerNote + Software EXIF,208808d8c4f8947ad790dc134772b001bb661cb51fbd76e34b9e6f5aca10e8a1,OK,EQUIPO_AUTORIA_REVISAR_PUBLICACION,Original conservado; no se modificó EXIF.
F3-01_APLICACION_CUESTIONARIO,IMG_20260721_102618.jpg,02_Evidencias/Cuestionario/Fotos_Aplicacion/IMG_20260721_102618.jpg,2026:07:21 10:26:17,DateTimeOriginal,,HONOR ABR-NX3,EXIF Make/Model,4a96114bb17d6e975aab4b0ee61a8d45ec2306da3c5dc5cca90ead074af2e116,OK,VERIFICAR_CONSENTIMIENTO_ANTES_DE_PUBLICAR,Original conservado fuera del árbol público hasta confirmar autorización de publicación.
F3-01_APLICACION_CUESTIONARIO,IMG_20260721_104307.jpg,02_Evidencias/Cuestionario/Fotos_Aplicacion/IMG_20260721_104307.jpg,2026:07:21 10:43:07,DateTimeOriginal,,HONOR ABR-NX3,EXIF Make/Model,56c4e5de24eac0e0f290ed2138cc5c46df6befc91ed545bf4bb4716166809dec,OK,VERIFICAR_CONSENTIMIENTO_ANTES_DE_PUBLICAR,Original conservado fuera del árbol público hasta confirmar autorización de publicación.
F3-01_APLICACION_CUESTIONARIO,IMG_20260721_154701.jpg,02_Evidencias/Cuestionario/Fotos_Aplicacion/IMG_20260721_154701.jpg,2026:07:21 15:47:01,DateTimeOriginal,,HONOR ABR-NX3,EXIF Make/Model,0bd8fce17af4a37154d3da915c2477501f8563609217c5fb6d46b6d57d59256d,OK,VERIFICAR_CONSENTIMIENTO_ANTES_DE_PUBLICAR,Original conservado fuera del árbol público hasta confirmar autorización de publicación.
F3-01_APLICACION_CUESTIONARIO,IMG_20260721_154901.jpg,02_Evidencias/Cuestionario/Fotos_Aplicacion/IMG_20260721_154901.jpg,2026:07:21 15:49:01,DateTimeOriginal,,HONOR ABR-NX3,EXIF Make/Model,a43d230a85394d97a3cf20772aa645ea4b344574f80357fe99b79b9db0552dfe,OK,VERIFICAR_CONSENTIMIENTO_ANTES_DE_PUBLICAR,Original conservado fuera del árbol público hasta confirmar autorización de publicación.
F3-01_APLICACION_CUESTIONARIO,IMG_20260825_142844.jpg,02_Evidencias/Cuestionario/Fotos_Aplicacion/IMG_20260825_142844.jpg,2026:08:25 14:28:44,DateTimeOriginal,,HONOR ABR-NX3,EXIF Make/Model,fb0b3a9e733d5777750b6821f1b178e7b1911faa7e8ae933081e937fc481943c,OK,VERIFICAR_CONSENTIMIENTO_ANTES_DE_PUBLICAR,Original conservado fuera del árbol público hasta confirmar autorización de publicación.
